trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
100_0020,16:55,16:55,kollafjar_adalur_vi_effo,3,0,0
100_0020,17:15,17:15,kollafj_r_ur_tunnel,4,0,0
100_0020,17:35,17:35,torshavn,5,0,0
100_0021,18:45,18:45,vestmanna,1,0,0
100_0021,19:00,19:00,kvivik,2,0,0
100_0021,19:10,19:10,kollafjar_adalur_vi_effo,3,0,0
100_0021,19:15,19:15,kollafj_r_ur_tunnel,4,0,0
100_0021,19:40,19:40,torshavn,5,0,0
100_0022,09:05,09:05,vestmanna,1,0,0
100_0022,09:20,09:20,kvivik,2,0,0
100_0022,09:30,09:30,kollafjar_adalur_vi_effo,3,0,0
100_0022,09:35,09:35,kollafj_r_ur_tunnel,4,0,0
100_0022,10:00,10:00,torshavn,5,0,0
100_0023,14:15,14:15,vestmanna,1,0,0
100_0023,14:30,14:30,kvivik,2,0,0
100_0023,14:35,14:35,kollafjar_adalur_vi_effo,3,0,0
100_0023,14:40,14:40,kollafj_r_ur_tunnel,4,0,0
100_0023,15:10,15:10,torshavn,5,0,0
100_0024,19:00,19:00,vestmanna,1,0,0
100_0024,19:15,19:15,kvivik,2,0,0
100_0024,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
100_0024,19:30,19:30,kollafj_r_ur_tunnel,4,0,0
100_0024,19:55,19:55,torshavn,5,0,0
100_0025,09:05,09:05,vestmanna,1,0,0
100_0025,09:20,09:20,kvivik,2,0,0
100_0025,09:30,09:30,kollafjar_adalur_vi_effo,3,0,0
100_0025,09:35,09:35,kollafj_r_ur_tunnel,4,0,0
100_0025,10:00,10:00,torshavn,5,0,0
100_0026,14:15,14:15,vestmanna,1,0,0
100_0026,14:30,14:30,kvivik,2,0,0
100_0026,14:35,14:35,kollafjar_adalur_vi_effo,3,0,0
100_0026,14:40,14:40,kollafj_r_ur_tunnel,4,0,0
100_0026,15:10,15:10,torshavn,5,0,0
100_0027,19:00,19:00,vestmanna,1,0,0
100_0027,19:15,19:15,kvivik,2,0,0
100_0027,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
100_0027,19:30,19:30,kollafj_r_ur_tunnel,4,0,0
100_0027,19:55,19:55,torshavn,5,0,0
200_0001,07:20,07:20,ei_i,1,0,0
200_0001,06:40,06:40,oyrarbakki,2,0,0
200_0001,07:20,07:20,ei_i,3,0,0
200_0002,08:00,08:00,ei_i,1,0,0
200_0002,07:35,07:35,oyrarbakki,2,0,0
200_0002,08:00,08:00,ei_i,3,0,0
200_0004,09:05,09:05,ei_i,1,0,0
200_0004,08:25,08:25,oyrarbakki,2,0,0
200_0004,09:05,09:05,ei_i,3,0,0
200_0006,12:00,12:00,ei_i,1,0,0
200_0006,11:35,11:35,oyrarbakki,2,0,0
200_0006,12:00,12:00,ei_i,3,0,0
200_0008,13:05,13:05,ei_i,1,0,0
200_0008,12:40,12:40,oyrarbakki,2,0,0
200_0008,13:05,13:05,ei_i,3,0,0
200_0009,13:35,13:35,ei_i,1,0,0
200_0009,13:15,13:15,oyrarbakki,2,0,0
200_0009,13:35,13:35,ei_i,3,0,0
200_0011,14:50,14:50,ei_i,1,0,0
200_0011,14:15,14:15,oyrarbakki,2,0,0
200_0011,14:50,14:50,ei_i,3,0,0
200_0012,15:00,15:00,ei_i,1,0,0
200_0012,14:15,14:15,oyrarbakki,2,0,0
200_0012,15:00,15:00,ei_i,3,0,0
200_0013,15:30,15:30,ei_i,1,0,0
200_0013,15:05,15:05,oyrarbakki,2,0,0
200_0013,15:30,15:30,ei_i,3,0,0
200_0014,16:40,16:40,ei_i,1,0,0
200_0014,15:55,15:55,oyrarbakki,2,0,0
200_0014,16:40,16:40,ei_i,3,0,0
200_0015,17:40,17:40,ei_i,1,0,0
200_0015,17:05,17:05,oyrarbakki,2,0,0
200_0015,17:40,17:40,ei_i,3,0,0
200_0016,19:30,19:30,ei_i,1,0,0
200_0016,18:55,18:55,oyrarbakki,2,0,0
200_0016,19:30,19:30,ei_i,3,0,0
201_0001,07:35,07:35,oyrarbakki,1,3,3
201_0001,07:07,07:07,funningur,2,3,3
201_0001,07:00,07:00,gjogv,3,3,3
201_0001,07:07,07:07,funningur,4,3,3
201_0001,07:35,07:35,oyrarbakki,5,3,3
201_0002,09:40,09:40,oyrarbakki,1,3,3
201_0002,09:05,09:05,gjogv,2,3,3
201_0002,09:40,09:40,oyrarbakki,3,3,3
201_0003,15:55,15:55,oyrarbakki,1,3,3
201_0003,15:35,15:35,funningur,2,3,3
201_0003,15:10,15:10,gjogv,3,3,3
201_0003,15:35,15:35,funningur,4,3,3
201_0003,15:55,15:55,oyrarbakki,5,3,3
201_0004,09:40,09:40,oyrarbakki,1,3,3
201_0004,09:15,09:15,ei_i,2,3,3
201_0004,08:55,08:55,gjogv,3,3,3
201_0004,09:15,09:15,ei_i,4,3,3
201_0004,09:40,09:40,oyrarbakki,5,3,3
201_0005,09:40,09:40,oyrarbakki,1,3,3
201_0005,09:05,09:05,gjogv,2,3,3
201_0005,09:40,09:40,oyrarbakki,3,3,3
201_0006,11:35,11:35,oyrarbakki,1,3,3
201_0006,11:10,11:10,ei_i,2,3,3
201_0006,10:50,10:50,gjogv,3,3,3
201_0006,11:10,11:10,ei_i,4,3,3
201_0006,11:35,11:35,oyrarbakki,5,3,3
201_0007,15:55,15:55,oyrarbakki,1,3,3
201_0007,15:35,15:35,ei_i,2,3,3
201_0007,15:10,15:10,gjogv,3,3,3
201_0007,15:35,15:35,ei_i,4,3,3
201_0007,15:55,15:55,oyrarbakki,5,3,3
201_0008,15:55,15:55,oyrarbakki,1,3,3
201_0008,15:35,15:35,ei_i,2,3,3
201_0008,15:10,15:10,gjogv,3,3,3
201_0008,15:35,15:35,ei_i,4,3,3
201_0008,15:55,15:55,oyrarbakki,5,3,3
201_0009,18:55,18:55,oyrarbakki,1,3,3
201_0009,18:30,18:30,ei_i,2,3,3
201_0009,18:05,18:05,gjogv,3,3,3
201_0009,18:30,18:30,ei_i,4,3,3
201_0009,18:55,18:55,oyrarbakki,5,3,3
202_0001,07:10,07:10,tj_rnuvik,1,0,0
202_0001,07:35,07:35,oyrarbakki,2,0,0
202_0001,08:00,08:00,tj_rnuvik,3,0,0
202_0002,08:00,08:00,tj_rnuvik,1,0,0
202_0002,08:25,08:25,oyrarbakki,2,0,0
202_0002,09:15,09:15,tj_rnuvik,3,0,0
202_0003,09:15,09:15,tj_rnuvik,1,0,0
202_0003,09:40,09:40,oyrarbakki,2,0,0
202_0004,13:50,13:50,tj_rnuvik,1,0,0
202_0004,14:15,14:15,oyrarbakki,2,0,0
202_0004,14:40,14:40,tj_rnuvik,3,0,0
202_0005,14:40,14:40,tj_rnuvik,1,0,0
202_0005,15:05,15:05,oyrarbakki,2,0,0
202_0005,15:30,15:30,tj_rnuvik,3,0,0
202_0006,15:30,15:30,tj_rnuvik,1,0,0
202_0006,15:55,15:55,oyrarbakki,2,0,0
202_0006,16:40,16:40,tj_rnuvik,3,0,0
202_0007,16:40,16:40,tj_rnuvik,1,0,0
202_0007,17:05,17:05,oyrarbakki,2,0,0
222_0001,14:35,14:35,kollafjar_adalur,1,0,0
222_0001,14:45,14:45,kollafj_r_ur_tunnel,2,0,0
222_0001,14:55,14:55,hosvik,3,0,0
222_0001,15:00,15:00,hvalvik,4,0,0
222_0001,15:05,15:05,oyrarbakki,5,0,0
223_0001,07:10,07:10,hosvik,1,3,3
223_0001,07:15,07:15,hvalvik,2,3,3
223_0001,07:30,07:30,oyri,3,3,3
223_0001,07:35,07:35,oyrarbakki,4,3,3
223_0001,08:05,08:05,kambsdalur,5,3,3
300_0001,05:40,05:40,torshavn,1,0,0
300_0001,06:00,06:00,kollafj_r_ur_tunnel,2,0,0
300_0001,06:05,06:05,kollafjar_adalur_vi_effo,3,0,0
300_0001,06:20,06:20,sandavagur,4,0,0
300_0001,06:25,06:25,mi_vagur,5,0,0
300_0001,06:35,06:35,vaga_airport_fl_gv_llurin,6,0,0
300_0001,06:45,06:45,s_rvagur,7,0,0
300_0002,06:45,06:45,torshavn,1,0,0
300_0002,07:05,07:05,kollafj_r_ur_tunnel,2,0,0
300_0002,07:10,07:10,kollafjar_adalur_vi_effo,3,0,0
300_0002,07:25,07:25,sandavagur,4,0,0
300_0002,07:30,07:30,mi_vagur,5,0,0
300_0002,07:40,07:40,vaga_airport_fl_gv_llurin,6,0,0
300_0002,07:50,07:50,s_rvagur,7,0,0
300_0003,07:50,07:50,torshavn,1,0,0
300_0003,08:10,08:10,kollafj_r_ur_tunnel,2,0,0
300_0003,08:15,08:15,kollafjar_adalur_vi_effo,3,0,0
300_0003,08:30,08:30,sandavagur,4,0,0
300_0003,08:35,08:35,mi_vagur,5,0,0
300_0003,08:45,08:45,vaga_airport_fl_gv_llurin,6,0,0
300_0003,08:55,08:55,s_rvagur,7,0,0
300_0004,09:15,09:15,torshavn,1,0,0
300_0004,09:35,09:35,kollafj_r_ur_tunnel,2,0,0
300_0004,09:40,09:40,kollafjar_adalur_vi_effo,3,0,0
300_0004,09:55,09:55,sandavagur,4,0,0
300_0004,10:00,10:00,mi_vagur,5,0,0
300_0004,10:10,10:10,vaga_airport_fl_gv_llurin,6,0,0
300_0004,10:20,10:20,s_rvagur,7,0,0
300_0005,12:30,12:30,torshavn,1,0,0
300_0005,12:50,12:50,kollafj_r_ur_tunnel,2,0,0
300_0005,12:55,12:55,kollafjar_adalur_vi_effo,3,0,0
300_0005,13:10,13:10,sandavagur,4,0,0
300_0005,13:15,13:15,mi_vagur,5,0,0
300_0005,13:25,13:25,vaga_airport_fl_gv_llurin,6,0,0
300_0005,13:35,13:35,s_rvagur,7,0,0
300_0006,14:15,14:15,torshavn,1,0,0
300_0006,14:35,14:35,kollafj_r_ur_tunnel,2,0,0
300_0006,14:40,14:40,kollafjar_adalur_vi_effo,3,0,0
300_0006,14:55,14:55,sandavagur,4,0,0
300_0006,15:00,15:00,mi_vagur,5,0,0
300_0006,15:10,15:10,vaga_airport_fl_gv_llurin,6,0,0
300_0006,15:15,15:15,s_rvagur,7,0,0
300_0007,15:20,15:20,torshavn,1,0,0
300_0007,15:45,15:45,kollafj_r_ur_tunnel,2,0,0
300_0007,15:50,15:50,kollafjar_adalur_vi_effo,3,0,0
300_0007,16:05,16:05,sandavagur,4,0,0
300_0007,16:10,16:10,mi_vagur,5,0,0
300_0007,16:20,16:20,vaga_airport_fl_gv_llurin,6,0,0
300_0007,16:30,16:30,s_rvagur,7,0,0
300_0008,16:30,16:30,torshavn,1,0,0
300_0008,16:50,16:50,kollafj_r_ur_tunnel,2,0,0
300_0008,16:55,16:55,kollafjar_adalur_vi_effo,3,0,0
300_0008,17:10,17:10,sandavagur,4,0,0
300_0008,17:15,17:15,mi_vagur,5,0,0
300_0008,17:25,17:25,vaga_airport_fl_gv_llurin,6,0,0
300_0008,17:35,17:35,s_rvagur,7,0,0
300_0009,17:45,17:45,torshavn,1,0,0
300_0009,18:05,18:05,kollafj_r_ur_tunnel,2,0,0
300_0009,18:10,18:10,kollafjar_adalur_vi_effo,3,0,0
300_0009,18:25,18:25,sandavagur,4,0,0
300_0009,18:30,18:30,mi_vagur,5,0,0
300_0009,18:40,18:40,vaga_airport_fl_gv_llurin,6,0,0
300_0009,18:50,18:50,s_rvagur,7,0,0
300_0010,19:00,19:00,torshavn,1,0,0
300_0010,19:20,19:20,kollafj_r_ur_tunnel,2,0,0
